#;Result;Status;Operator;Program Graph Node;Minimal?;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement
104;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
105;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
106;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
107;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
108;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
109;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
110;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
111;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
112;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
113;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
114;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
115;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
116;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
117;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
118;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
119;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
120;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
121;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Assignment
122;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
123;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
124;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
125;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
126;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
127;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
128;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
129;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
130;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
131;Dead Active;Dead Active;u-CRCR;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
132;Dead Active;Dead Active;u-OAAN;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
133;Equivalent Active;Equivalent Active;u-OAAN;2;0;0;0;0;1;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
134;Equivalent Active;Equivalent Active;u-OAAN;2;0;0;0;0;1;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
135;Dead Active;Dead Active;u-OAAN;2;0;0;0;0;0;[1];1;1;1.0;[8, 7, 3];3;8;6.0;[1];[3];[1];[0];0.8571428571428571;For
136;Dead Active;Dead Active;u-OAAN;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
137;Dead Active;Dead Active;u-OAAN;8;0;0;0;0;0;[3];3;3;3.0;[1];1;1;1.0;[3];[9];[0];[1];1.0;Function Call
